"date_day","perc_complete"
2003-05-27,0
2003-05-28,0
2003-05-29,0
2003-05-30,0
2003-05-31,0
2003-06-01,0
2003-06-02,0
2003-06-03,0
2003-06-04,0
2003-06-05,0
2003-06-06,0
2003-06-07,0
2003-06-08,0
2003-06-09,0
2003-06-10,0
2003-06-11,0
2003-06-12,0
2003-06-13,0
2003-06-14,0
2003-06-15,0
2003-06-16,0
2003-06-17,0
2003-06-18,0
2003-06-19,0
2003-06-20,0
2003-06-21,0
2003-06-22,0
2003-06-23,0
2003-06-24,0
2003-06-25,0
2003-06-26,0
2003-06-27,0
2003-06-28,0
2003-06-29,0
2003-06-30,0
2003-07-01,0
2003-07-02,0
2003-07-03,0
2003-07-04,0
2003-07-05,0
2003-07-06,0
2003-07-07,0
2003-07-08,0
2003-07-09,0
2003-07-10,0
2003-07-11,0
2003-07-12,0
2003-07-13,0
2003-07-14,0
2003-07-15,0
2003-07-16,0
2003-07-17,0
2003-07-18,0
2003-07-19,0
2003-07-20,0
2003-07-21,0
2003-07-22,0
2003-07-23,0
2003-07-24,0
2003-07-25,0
2003-07-26,0
2003-07-27,0
2003-07-28,0
2003-07-29,0
2003-07-30,0
2003-07-31,0
2003-08-01,0
2003-08-02,0
2003-08-03,0
2003-08-04,0
2003-08-05,0
2003-08-06,0
2003-08-07,0
2003-08-08,0
2003-08-09,0
2003-08-10,0
2003-08-11,0
2003-08-12,0
2003-08-13,0
2003-08-14,0
2003-08-15,0
2003-08-16,0
2003-08-17,0
2003-08-18,0
2003-08-19,0
2003-08-20,0
2003-08-21,0
2003-08-22,0
2003-08-23,0
2003-08-24,0
2003-08-25,0
2003-08-26,0
2003-08-27,0
2003-08-28,0
2003-08-29,0
2003-08-30,0
2003-08-31,0
2003-09-01,0
2003-09-02,0
2003-09-03,0
2003-09-04,0
2003-09-05,0
2003-09-06,0
2003-09-07,0
2003-09-08,15
2003-09-09,50
2003-09-10,50
2003-09-11,50
2003-09-12,50
2003-09-13,50
2003-09-14,50
2003-09-15,50
2003-09-16,50
2003-09-17,50
2003-09-18,50
2003-09-19,44
2003-09-20,50
2003-09-21,44
2003-09-22,50
2003-09-23,38
2003-09-24,50
2003-09-25,50
2003-09-26,50
2003-09-27,50
2003-09-28,50
2003-09-29,50
2003-09-30,50
2003-10-01,50
2003-10-02,50
2003-10-03,50
2003-10-04,50
2003-10-05,50
2003-10-06,50
2003-10-07,50
2003-10-08,50
2003-10-09,44
2003-10-10,50
2003-10-11,50
2003-10-12,50
2003-10-13,50
2003-10-14,50
2003-10-15,44
2003-10-16,50
2003-10-17,44
2003-10-18,38
2003-10-19,50
2003-10-20,50
2003-10-21,50
2003-10-22,50
2003-10-23,50
2003-10-24,50
2003-10-25,35
2003-10-26,46
2003-10-27,44
2003-10-28,50
2003-10-29,50
2003-10-30,50
2003-10-31,50
2003-11-01,50
2003-11-02,50
2003-11-03,50
2003-11-04,50
2003-11-05,50
2003-11-06,50
2003-11-07,50
2003-11-08,50
2003-11-09,50
2003-11-10,38
2003-11-11,50
2003-11-12,44
2003-11-13,38
2003-11-14,0
2003-11-15,0
2003-11-16,0
