"date_quarter","quarter","year","perc_complete"
2003-04-01,2,2003,0
2003-07-01,3,2003,12
2003-10-01,4,2003,54
2004-01-01,1,2004,66
2004-04-01,2,2004,69
2004-07-01,3,2004,67
2004-10-01,4,2004,66
2005-01-01,1,2005,80
2005-04-01,2,2005,74
2005-07-01,3,2005,33
2005-10-01,4,2005,96
2006-01-01,1,2006,99
2006-04-01,2,2006,92
2006-07-01,3,2006,66
2006-10-01,4,2006,92
2007-01-01,1,2007,96
2007-04-01,2,2007,92
2007-07-01,3,2007,98
2007-10-01,4,2007,95
2008-01-01,1,2008,86
2008-04-01,2,2008,100
2008-07-01,3,2008,98
2008-10-01,4,2008,79
2009-01-01,1,2009,76
2009-04-01,2,2009,74
2009-07-01,3,2009,88
2009-10-01,4,2009,98
2010-01-01,1,2010,98
2010-04-01,2,2010,100
2010-07-01,3,2010,90
2010-10-01,4,2010,99
2011-01-01,1,2011,98
2011-04-01,2,2011,95
2011-07-01,3,2011,98
2011-10-01,4,2011,88
2012-01-01,1,2012,96
2012-04-01,2,2012,83
2012-07-01,3,2012,87
2012-10-01,4,2012,92
2013-01-01,1,2013,97
2013-04-01,2,2013,80
2013-07-01,3,2013,100
2013-10-01,4,2013,99
2014-01-01,1,2014,97
2014-04-01,2,2014,99
2014-07-01,3,2014,100
2014-10-01,4,2014,99
2015-01-01,1,2015,100
2015-04-01,2,2015,100
2015-07-01,3,2015,98
2015-10-01,4,2015,98
2016-01-01,1,2016,99
2016-04-01,2,2016,87
2016-07-01,3,2016,88
2016-10-01,4,2016,96
2017-01-01,1,2017,96
2017-04-01,2,2017,97
2017-07-01,3,2017,86
2017-10-01,4,2017,80
2018-01-01,1,2018,85
2018-04-01,2,2018,88
2018-07-01,3,2018,95
2018-10-01,4,2018,98
2019-01-01,1,2019,98
2019-04-01,2,2019,96
2019-07-01,3,2019,99
2019-10-01,4,2019,97
2020-01-01,1,2020,99
2020-04-01,2,2020,99
2020-07-01,3,2020,99
2020-10-01,4,2020,99
2021-01-01,1,2021,97
2021-04-01,2,2021,99
2021-07-01,3,2021,99
2021-10-01,4,2021,99
2022-01-01,1,2022,10
