"date_year","yearly_rain","year","no_nas","total","perc_complete"
2005-02-07,1306.8,2005,10649,17520,61
2006-02-07,1425,2006,15178,17520,87
2007-02-07,1500.8,2007,16692,17520,95
2008-02-07,1668.8,2008,3428,35136,10
2008-02-07,1668.8,2008,14282,17568,81
2009-02-07,1471.2,2009,12365,52560,24
2009-02-07,1471.2,2009,24416,35040,70
2010-02-07,1719.7,2010,49945,52560,95
2011-02-07,2214.7,2011,51064,52560,97
2012-02-07,1249.8,2012,47393,52704,90
2013-02-07,1830.1,2013,49747,52560,95
2014-02-07,1780.8,2014,52049,52560,99
2015-02-07,1648.8,2015,52026,52560,99
2016-02-07,1341.6,2016,49587,52704,94
2017-02-07,1014.3,2017,45346,52560,86
2018-02-07,1352.2,2018,45509,52560,87
2019-02-07,1585.4,2019,50726,52560,97
2020-02-07,2056.4,2020,48695,52704,92
2021-02-07,1647.2,2021,52221,52560,99
2022-02-07,1.4,2022,1341,52560,3
